candidate,short_candidate,rule_id,coordinate,definition,threshold,primary,transition,component,delta_tp,delta_fp,delta_fn,delta_neutralized,delta_f1
visdrone_control_asd1280,ASD,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,A->F,target,-2933,2933,-1616,0,-0.06959191791092612
visdrone_control_asd1280,ASD,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,F->R,removed,0,-3128,0,3128,0.09030765719663902
visdrone_control_asd1280,ASD,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,R->S,source,0,-504,0,504,0.016580993333220828
visdrone_control_asd1280,ASD,absolute_max_side,absolute,max_side,24.0,True,A->F,target,-3024,3024,-1520,0,-0.07585537704469913
visdrone_control_asd1280,ASD,absolute_max_side,absolute,max_side,24.0,True,F->R,removed,0,-3243,0,3243,0.09324887161572692
visdrone_control_asd1280,ASD,absolute_max_side,absolute,max_side,24.0,True,R->S,source,0,-505,0,505,0.016620311960752643
visdrone_control_asd1280,ASD,absolute_minimum_side,absolute,minimum_side,17.0,False,A->F,target,-2740,2740,-1699,0,-0.059457992972325346
visdrone_control_asd1280,ASD,absolute_minimum_side,absolute,minimum_side,17.0,False,F->R,removed,0,-2923,0,2923,0.08450233225314063
visdrone_control_asd1280,ASD,absolute_minimum_side,absolute,minimum_side,17.0,False,R->S,source,0,-503,0,503,0.016432263655031254
visdrone_control_asd1280,ASD,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,A->F,target,-779,779,-965,0,-0.003096159846051494
visdrone_control_asd1280,ASD,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,F->R,removed,0,-779,0,779,0.020467114293186928
visdrone_control_asd1280,ASD,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,R->S,source,0,-505,0,505,0.013814453216998701
visdrone_control_asd1280,ASD,normalized_max_side,normalized,max_side,0.015,True,A->F,target,-769,769,-974,0,-0.002505849084303624
visdrone_control_asd1280,ASD,normalized_max_side,normalized,max_side,0.015,True,F->R,removed,0,-772,0,772,0.02029245709183003
visdrone_control_asd1280,ASD,normalized_max_side,normalized,max_side,0.015,True,R->S,source,0,-505,0,505,0.013817639490273481
visdrone_control_asd1280,ASD,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,A->F,target,-721,721,-928,0,-0.0019629424518284866
visdrone_control_asd1280,ASD,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,F->R,removed,0,-716,0,716,0.018744028916866218
visdrone_control_asd1280,ASD,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,R->S,source,0,-505,0,505,0.013735310603361084
visdrone_control_baseline1280,B-1280,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,A->F,target,-3195,3195,-1354,0,-0.08922875644013772
visdrone_control_baseline1280,B-1280,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,F->R,removed,0,-3514,0,3514,0.09042275339085326
visdrone_control_baseline1280,B-1280,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,R->S,source,0,-936,0,936,0.02812172413670222
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,max_side,24.0,True,A->F,target,-3251,3251,-1293,0,-0.09295478696476456
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,max_side,24.0,True,F->R,removed,0,-3555,0,3555,0.09111523026294643
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,max_side,24.0,True,R->S,source,0,-937,0,937,0.02808385408373615
visdrone_control_baseline1280,B-1280,absolute_minimum_side,absolute,minimum_side,17.0,False,A->F,target,-3027,3027,-1412,0,-0.08093025096550732
visdrone_control_baseline1280,B-1280,absolute_minimum_side,absolute,minimum_side,17.0,False,F->R,removed,0,-3367,0,3367,0.08684464619656795
visdrone_control_baseline1280,B-1280,absolute_minimum_side,absolute,minimum_side,17.0,False,R->S,source,0,-934,0,934,0.02795499946612956
visdrone_control_baseline1280,B-1280,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,A->F,target,-1027,1027,-717,0,-0.019662951860732636
visdrone_control_baseline1280,B-1280,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,F->R,removed,0,-1068,0,1068,0.025343526026884722
visdrone_control_baseline1280,B-1280,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,R->S,source,0,-938,0,938,0.023662665798999116
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,max_side,0.015,True,A->F,target,-1018,1018,-725,0,-0.019153528828584565
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,max_side,0.015,True,F->R,removed,0,-1062,0,1062,0.025212280488097205
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,max_side,0.015,True,R->S,source,0,-938,0,938,0.023668610400469636
visdrone_control_baseline1280,B-1280,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,A->F,target,-968,968,-681,0,-0.018359441465781834
visdrone_control_baseline1280,B-1280,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,F->R,removed,0,-1003,0,1003,0.02372507225378473
visdrone_control_baseline1280,B-1280,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,R->S,source,0,-938,0,938,0.02353496905234531
visdrone_control_baseline640,B-640,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,A->F,target,-2124,2124,-2425,0,-0.026386353694988984
visdrone_control_baseline640,B-640,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,F->R,removed,0,-2184,0,2184,0.06325519036085003
visdrone_control_baseline640,B-640,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,R->S,source,0,-293,0,293,0.009312230276531164
visdrone_control_baseline640,B-640,absolute_max_side,absolute,max_side,24.0,True,A->F,target,-2256,2256,-2288,0,-0.03597269690568827
visdrone_control_baseline640,B-640,absolute_max_side,absolute,max_side,24.0,True,F->R,removed,0,-2320,0,2320,0.0666694049974178
visdrone_control_baseline640,B-640,absolute_max_side,absolute,max_side,24.0,True,R->S,source,0,-293,0,293,0.009288981945265284
visdrone_control_baseline640,B-640,absolute_minimum_side,absolute,minimum_side,17.0,False,A->F,target,-1908,1908,-2531,0,-0.013901163032021824
visdrone_control_baseline640,B-640,absolute_minimum_side,absolute,minimum_side,17.0,False,F->R,removed,0,-1978,0,1978,0.057541832756351385
visdrone_control_baseline640,B-640,absolute_minimum_side,absolute,minimum_side,17.0,False,R->S,source,0,-293,0,293,0.009275023627930423
visdrone_control_baseline640,B-640,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,A->F,target,-405,405,-1339,0,0.017447687612659912
visdrone_control_baseline640,B-640,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,F->R,removed,0,-357,0,357,0.009278081933402738
visdrone_control_baseline640,B-640,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,R->S,source,0,-294,0,294,0.007806153662647142
visdrone_control_baseline640,B-640,normalized_max_side,normalized,max_side,0.015,True,A->F,target,-399,399,-1344,0,0.017812511958424815
visdrone_control_baseline640,B-640,normalized_max_side,normalized,max_side,0.015,True,F->R,removed,0,-356,0,356,0.009255759759901228
visdrone_control_baseline640,B-640,normalized_max_side,normalized,max_side,0.015,True,R->S,source,0,-294,0,294,0.007808982324880476
visdrone_control_baseline640,B-640,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,A->F,target,-384,384,-1265,0,0.016377554773415404
visdrone_control_baseline640,B-640,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,F->R,removed,0,-341,0,341,0.008818014180085099
visdrone_control_baseline640,B-640,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,R->S,source,0,-294,0,294,0.007762548189254703
visdrone_control_yolo11m_hf640,Y11m,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,A->F,target,-2216,2216,-2333,0,-0.021812249194261835
visdrone_control_yolo11m_hf640,Y11m,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,F->R,removed,0,-2210,0,2210,0.0694498669043474
visdrone_control_yolo11m_hf640,Y11m,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,R->S,source,0,-345,0,345,0.011921287847269757
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,max_side,24.0,True,A->F,target,-2343,2343,-2201,0,-0.030958069910590247
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,max_side,24.0,True,F->R,removed,0,-2330,0,2330,0.07272303031284999
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,max_side,24.0,True,R->S,source,0,-345,0,345,0.011895641172169458
visdrone_control_yolo11m_hf640,Y11m,absolute_minimum_side,absolute,minimum_side,17.0,False,A->F,target,-2034,2034,-2405,0,-0.012134595101253254
visdrone_control_yolo11m_hf640,Y11m,absolute_minimum_side,absolute,minimum_side,17.0,False,F->R,removed,0,-2044,0,2044,0.06431138100393863
visdrone_control_yolo11m_hf640,Y11m,absolute_minimum_side,absolute,minimum_side,17.0,False,R->S,source,0,-345,0,345,0.011854803851919948
visdrone_control_yolo11m_hf640,Y11m,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,A->F,target,-337,337,-1407,0,0.025442717133619897
visdrone_control_yolo11m_hf640,Y11m,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,F->R,removed,0,-313,0,313,0.008811602636932592
visdrone_control_yolo11m_hf640,Y11m,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,R->S,source,0,-346,0,346,0.009952053248080905
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,max_side,0.015,True,A->F,target,-338,338,-1405,0,0.02535037548548502
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,max_side,0.015,True,F->R,removed,0,-312,0,312,0.008781940277787226
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,max_side,0.015,True,R->S,source,0,-346,0,346,0.009950007352125034
visdrone_control_yolo11m_hf640,Y11m,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,A->F,target,-327,327,-1322,0,0.023446136723240252
visdrone_control_yolo11m_hf640,Y11m,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,F->R,removed,0,-302,0,302,0.008453111972904992
visdrone_control_yolo11m_hf640,Y11m,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,R->S,source,0,-346,0,346,0.009890680825181852
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,A->F,target,-2750,2750,-1799,0,-0.06296037963184753
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,F->R,removed,0,-3017,0,3017,0.0899919603027104
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_geometric_mean_side,absolute,geometric_mean_side,20.149441679609886,False,R->S,source,0,-468,0,468,0.015919648808207953
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,max_side,24.0,True,A->F,target,-2847,2847,-1697,0,-0.06994606147006832
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,max_side,24.0,True,F->R,removed,0,-3108,0,3108,0.09216121120660459
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,max_side,24.0,True,R->S,source,0,-468,0,468,0.015883869552911323
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_minimum_side,absolute,minimum_side,17.0,False,A->F,target,-2534,2534,-1905,0,-0.050677723645118244
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_minimum_side,absolute,minimum_side,17.0,False,F->R,removed,0,-2778,0,2778,0.08306590143853188
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_minimum_side,absolute,minimum_side,17.0,False,R->S,source,0,-467,0,467,0.015764125948912744
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,A->F,target,-775,775,-969,0,-0.004006608000207135
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,F->R,removed,0,-817,0,817,0.021933418033151963
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_geometric_mean_side,normalized,geometric_mean_side,0.012187450538044615,False,R->S,source,0,-469,0,469,0.013133806715977303
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,max_side,0.015,True,A->F,target,-762,762,-981,0,-0.0031970580347920885
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,max_side,0.015,True,F->R,removed,0,-805,0,805,0.021623495427010364
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,max_side,0.015,True,R->S,source,0,-469,0,469,0.013135937748358528
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,A->F,target,-723,723,-926,0,-0.0031497772695944226
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,F->R,removed,0,-754,0,754,0.02015829118871848
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_minimum_side,normalized,minimum_side,0.009558823529411765,False,R->S,source,0,-468,0,468,0.01302197197934618
